"Datum";"Steiermark"
"2022-03-06";"7.36317254174397"
"2022-03-05";"7.424430895896203"
"2022-03-04";"7.512940206930419"
"2022-03-03";"7.611689216104913"
"2022-03-02";"7.687197769842398"
"2022-03-01";"7.801562670392083"
"2022-02-28";"7.923920766788488"
"2022-02-27";"7.973877214418468"
"2022-02-26";"8.024691358024691"
"2022-02-25";"8.09487951807229"
"2022-02-24";"8.167849621714375"
"2022-02-23";"8.265428958701293"
"2022-02-22";"8.342473068424907"
"2022-02-21";"8.450082878931884"
"2022-02-20";"8.513202011735121"
"2022-02-19";"8.575842399915496"
"2022-02-18";"8.662887629209736"
"2022-02-17";"8.78781621413024"
"2022-02-16";"8.891771593689622"
"2022-02-15";"9.021742923952118"
"2022-02-14";"9.167726759101988"
"2022-02-13";"9.247516571161688"
"2022-02-12";"9.335579779083362"
"2022-02-11";"9.457474497215033"
"2022-02-10";"9.643886256992475"
"2022-02-09";"9.76809369427165"
"2022-02-08";"9.965106532291077"
"2022-02-07";"10.18060302028544"
"2022-02-06";"10.306820844747199"
"2022-02-05";"10.459796056546093"
"2022-02-04";"10.636255103148297"
"2022-02-03";"10.845690938324996"
"2022-02-02";"11.093204756975835"
"2022-02-01";"11.38065557598314"
"2022-01-31";"11.721601567192453"
"2022-01-30";"11.872912049553243"
"2022-01-29";"12.040114694931454"
"2022-01-28";"12.271127955102791"
"2022-01-27";"12.531564093677279"
"2022-01-26";"12.876149291939274"
"2022-01-25";"13.155013295792273"
"2022-01-24";"13.460020059324385"
"2022-01-23";"13.619622625206564"
"2022-01-22";"13.840925436886806"
"2022-01-21";"14.02321621350903"
"2022-01-20";"14.255143287401353"
"2022-01-19";"14.497428247233854"
"2022-01-18";"14.694630852884318"
"2022-01-17";"14.895924062783298"
"2022-01-16";"15.000149284925207"
"2022-01-15";"15.100580328953303"
"2022-01-14";"15.204912076733033"
"2022-01-13";"15.331802189210322"
"2022-01-12";"15.44810594394826"
"2022-01-11";"15.587567281665164"
"2022-01-10";"15.726469960181381"
"2022-01-09";"15.81125043428824"
"2022-01-08";"15.872210309958511"
"2022-01-07";"15.956259051556389"
"2022-01-06";"16.00604388216991"
"2022-01-05";"16.050033424178537"
"2022-01-04";"16.117471571647197"
"2022-01-03";"16.14368397830206"
"2022-01-02";"16.164599202503076"
"2022-01-01";"16.14342764447977"
"2021-12-31";"16.16459445002544"
"2021-12-30";"16.195470237472538"
"2021-12-29";"16.185448162024787"
"2021-12-28";"16.185987896609213"
"2021-12-27";"16.209140007762493"
"2021-12-26";"16.22668607983556"
"2021-12-25";"16.233830484772128"
"2021-12-24";"16.239276728106034"
"2021-12-23";"16.26688541074051"
"2021-12-22";"16.279501212514745"
"2021-12-21";"16.284504162406897"
"2021-12-20";"16.278497349006457"
