"Datum";"Niederösterreich"
"2022-03-19";"3.657303182285167"
"2022-03-18";"3.70619454685411"
"2022-03-17";"3.7614636649517768"
"2022-03-16";"3.8304610460878528"
"2022-03-15";"3.8845453262150684"
"2022-03-14";"3.982138807974743"
"2022-03-13";"4.026923871710682"
"2022-03-12";"4.0853788610774"
"2022-03-11";"4.138923879791255"
"2022-03-10";"4.210024184065142"
"2022-03-09";"4.300433255424195"
"2022-03-08";"4.377441265321044"
"2022-03-07";"4.452922463414012"
"2022-03-06";"4.500067520871894"
"2022-03-05";"4.545893020788116"
"2022-03-04";"4.5957602636611465"
"2022-03-03";"4.656819798183861"
"2022-03-02";"4.7304442513271"
"2022-03-01";"4.741991127066267"
"2022-02-28";"4.819417651900224"
"2022-02-27";"4.870634035387004"
"2022-02-26";"4.893784143962861"
"2022-02-25";"4.950406536771575"
"2022-02-24";"5.008041367236009"
"2022-02-23";"5.079664112666996"
"2022-02-22";"5.136563671502084"
"2022-02-21";"5.216707672562201"
"2022-02-20";"5.266682611815355"
"2022-02-19";"5.31675793767793"
"2022-02-18";"5.374584080481953"
"2022-02-17";"5.441637447188116"
"2022-02-16";"5.515302260192495"
"2022-02-15";"5.589441259868219"
"2022-02-14";"5.718347846994993"
"2022-02-13";"5.78280758348978"
"2022-02-12";"5.8542176612052295"
"2022-02-11";"5.931178764043418"
"2022-02-10";"6.013316974317264"
"2022-02-09";"6.098226199434375"
"2022-02-08";"6.176692561298779"
"2022-02-07";"6.269655672929603"
"2022-02-06";"6.347679029624446"
"2022-02-05";"6.4438298994892955"
"2022-02-04";"6.534435029861827"
"2022-02-03";"6.639412382977683"
"2022-02-02";"6.775558078885964"
"2022-02-01";"6.899137846108868"
"2022-01-31";"7.060883033381383"
"2022-01-30";"7.143398202458857"
"2022-01-29";"7.2583559773515205"
"2022-01-28";"7.361683913005075"
"2022-01-27";"7.490662608936229"
"2022-01-26";"7.634772791419701"
"2022-01-25";"7.81489925174959"
"2022-01-24";"7.9420764746290695"
"2022-01-23";"8.046400911925437"
"2022-01-22";"8.168173619068149"
"2022-01-21";"8.265222135022874"
"2022-01-20";"8.392614188532555"
"2022-01-19";"8.529509414870912"
