"Datum";"Wien"
"2022-04-13";"3.9971021009767917"
"2022-04-12";"4.001875655495062"
"2022-04-11";"4.016367416140957"
"2022-04-10";"4.009262862551227"
"2022-04-09";"4.012499924735521"
"2022-04-08";"4.02658926976214"
"2022-04-07";"4.038085522400748"
"2022-04-06";"4.041041484939598"
"2022-04-05";"4.054340410260053"
"2022-04-04";"4.075969767837296"
"2022-04-03";"4.082693736073286"
"2022-04-02";"4.093322278587064"
"2022-04-01";"4.101171388489487"
"2022-03-31";"4.110470141303693"
"2022-03-30";"4.1292107832474185"
"2022-03-29";"4.1524988302371275"
"2022-03-28";"4.185512638341564"
"2022-03-27";"4.200987719090924"
"2022-03-26";"4.222695912310119"
"2022-03-25";"4.246984140374557"
"2022-03-24";"4.273873883463754"
"2022-03-23";"4.3115400664970585"
"2022-03-22";"4.354523896760872"
"2022-03-21";"4.404884361416199"
"2022-03-20";"4.444034641396721"
"2022-03-19";"4.467785140279148"
"2022-03-18";"4.509473600196113"
"2022-03-17";"4.547812554037697"
"2022-03-16";"4.6062133447160845"
"2022-03-15";"4.658578363096473"
"2022-03-14";"4.743361334125153"
"2022-03-13";"4.790666065988104"
"2022-03-12";"4.832519432618427"
"2022-03-11";"4.884189639465375"
"2022-03-10";"4.929307705767464"
"2022-03-09";"4.993460373702068"
"2022-03-08";"5.050439563289334"
"2022-03-07";"5.113823277847227"
"2022-03-06";"5.15099283643356"
"2022-03-05";"5.189207653704532"
"2022-03-04";"5.224858222263541"
"2022-03-03";"5.253755361148803"
"2022-03-02";"5.289583602463075"
"2022-03-01";"5.3163488150275455"
"2022-02-28";"5.378873167474467"
"2022-02-27";"5.413708683802077"
"2022-02-26";"5.4472826281660875"
"2022-02-25";"5.477706546536139"
"2022-02-24";"5.514746030474886"
"2022-02-23";"5.564257697100438"
"2022-02-22";"5.614041608206425"
"2022-02-21";"5.682599935540657"
"2022-02-20";"5.711919429073992"
"2022-02-19";"5.756520639349382"
"2022-02-18";"5.7990997201833006"
"2022-02-17";"5.8499635720131495"
"2022-02-16";"5.915450031368311"
"2022-02-15";"5.970704915473393"
"2022-02-14";"6.062310934990175"
"2022-02-13";"6.1145172336966835"
"2022-02-12";"6.166180119233682"
"2022-02-11";"6.223519462470132"
"2022-02-10";"6.290221642207067"
"2022-02-09";"6.351634249567375"
"2022-02-08";"6.4305864624765645"
"2022-02-07";"6.5065933479258975"
"2022-02-06";"6.570444259305127"
"2022-02-05";"6.630885992936467"
"2022-02-04";"6.713143458260857"
