date;state_id;state_name;age_group;gender;vaccine;dose_number;doses_administered_cumulative
2022-10-12T23:59:59+02:00;0;NoState;85+;Male;AstraZeneca;5+;0
2022-10-12T23:59:59+02:00;0;NoState;85+;NonBinary;AstraZeneca;5+;0
2022-10-12T23:59:59+02:00;0;NoState;85+;NotAssigned;AstraZeneca;5+;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Female;AstraZeneca;5+;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Male;AstraZeneca;5+;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NonBinary;AstraZeneca;5+;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NotAssigned;AstraZeneca;5+;0
2022-10-12T23:59:59+02:00;0;NoState;00-11;Female;BioNTechPfizer;1;642
2022-10-12T23:59:59+02:00;0;NoState;00-11;Male;BioNTechPfizer;1;680
2022-10-12T23:59:59+02:00;0;NoState;00-11;NonBinary;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;00-11;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;12-14;Female;BioNTechPfizer;1;620
2022-10-12T23:59:59+02:00;0;NoState;12-14;Male;BioNTechPfizer;1;668
2022-10-12T23:59:59+02:00;0;NoState;12-14;NonBinary;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;12-14;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;15-24;Female;BioNTechPfizer;1;7197
2022-10-12T23:59:59+02:00;0;NoState;15-24;Male;BioNTechPfizer;1;8816
2022-10-12T23:59:59+02:00;0;NoState;15-24;NonBinary;BioNTechPfizer;1;7
2022-10-12T23:59:59+02:00;0;NoState;15-24;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;25-34;Female;BioNTechPfizer;1;9915
2022-10-12T23:59:59+02:00;0;NoState;25-34;Male;BioNTechPfizer;1;14666
2022-10-12T23:59:59+02:00;0;NoState;25-34;NonBinary;BioNTechPfizer;1;15
2022-10-12T23:59:59+02:00;0;NoState;25-34;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;35-44;Female;BioNTechPfizer;1;8133
2022-10-12T23:59:59+02:00;0;NoState;35-44;Male;BioNTechPfizer;1;11635
2022-10-12T23:59:59+02:00;0;NoState;35-44;NonBinary;BioNTechPfizer;1;4
2022-10-12T23:59:59+02:00;0;NoState;35-44;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;45-54;Female;BioNTechPfizer;1;9895
2022-10-12T23:59:59+02:00;0;NoState;45-54;Male;BioNTechPfizer;1;9136
2022-10-12T23:59:59+02:00;0;NoState;45-54;NonBinary;BioNTechPfizer;1;2
2022-10-12T23:59:59+02:00;0;NoState;45-54;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;55-64;Female;BioNTechPfizer;1;6514
2022-10-12T23:59:59+02:00;0;NoState;55-64;Male;BioNTechPfizer;1;5745
2022-10-12T23:59:59+02:00;0;NoState;55-64;NonBinary;BioNTechPfizer;1;1
2022-10-12T23:59:59+02:00;0;NoState;55-64;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;65-74;Female;BioNTechPfizer;1;2857
2022-10-12T23:59:59+02:00;0;NoState;65-74;Male;BioNTechPfizer;1;2379
2022-10-12T23:59:59+02:00;0;NoState;65-74;NonBinary;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;65-74;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;75-84;Female;BioNTechPfizer;1;2943
2022-10-12T23:59:59+02:00;0;NoState;75-84;Male;BioNTechPfizer;1;2739
2022-10-12T23:59:59+02:00;0;NoState;75-84;NonBinary;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;75-84;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;85+;Female;BioNTechPfizer;1;5007
2022-10-12T23:59:59+02:00;0;NoState;85+;Male;BioNTechPfizer;1;2572
2022-10-12T23:59:59+02:00;0;NoState;85+;NonBinary;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;85+;NotAssigned;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Female;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Male;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NonBinary;BioNTechPfizer;1;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NotAssigned;BioNTechPfizer;1;6117
2022-10-12T23:59:59+02:00;0;NoState;00-11;Female;BioNTechPfizer;2;529
2022-10-12T23:59:59+02:00;0;NoState;00-11;Male;BioNTechPfizer;2;523
2022-10-12T23:59:59+02:00;0;NoState;00-11;NonBinary;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;00-11;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;12-14;Female;BioNTechPfizer;2;502
2022-10-12T23:59:59+02:00;0;NoState;12-14;Male;BioNTechPfizer;2;545
2022-10-12T23:59:59+02:00;0;NoState;12-14;NonBinary;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;12-14;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;15-24;Female;BioNTechPfizer;2;5812
2022-10-12T23:59:59+02:00;0;NoState;15-24;Male;BioNTechPfizer;2;7256
2022-10-12T23:59:59+02:00;0;NoState;15-24;NonBinary;BioNTechPfizer;2;5
2022-10-12T23:59:59+02:00;0;NoState;15-24;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;25-34;Female;BioNTechPfizer;2;8884
2022-10-12T23:59:59+02:00;0;NoState;25-34;Male;BioNTechPfizer;2;13265
2022-10-12T23:59:59+02:00;0;NoState;25-34;NonBinary;BioNTechPfizer;2;12
2022-10-12T23:59:59+02:00;0;NoState;25-34;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;35-44;Female;BioNTechPfizer;2;7629
2022-10-12T23:59:59+02:00;0;NoState;35-44;Male;BioNTechPfizer;2;11173
2022-10-12T23:59:59+02:00;0;NoState;35-44;NonBinary;BioNTechPfizer;2;4
2022-10-12T23:59:59+02:00;0;NoState;35-44;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;45-54;Female;BioNTechPfizer;2;9664
2022-10-12T23:59:59+02:00;0;NoState;45-54;Male;BioNTechPfizer;2;8991
2022-10-12T23:59:59+02:00;0;NoState;45-54;NonBinary;BioNTechPfizer;2;3
2022-10-12T23:59:59+02:00;0;NoState;45-54;NotAssigned;BioNTechPfizer;2;0
